Title,US_Gross,Worldwide_Gross,Production_Budget,Release_Date,MPAA_Rating,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Flirting with Disaster,14853474,14853474,7000000,"March 22, 1996",R,Original Screenplay,Comedy,Contemporary Fiction,David O. Russell,86,6.7,8474
Girl 6,4880941,4880941,12000000,"March 22, 1996",R,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,34,4.9,3348
Goldeneye,106429941,356429941,60000000,"November 17, 1995",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199
Groundhog Day,70906973,70906973,14600000,"February 12, 1993",PG,Original Screenplay,Comedy,Fantasy,Harold Ramis,96,8.2,134964
Get Shorty,72021008,115021008,30250000,"October 20, 1995",R,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,86,6.9,33364
Gone with the Wind,198680470,390525192,3900000,"December 15, 1939",G,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
Highlander,5900000,12900000,16000000,"March 7, 1986",R,Original Screenplay,Action,Fantasy,Russell Mulcahy,66,7.2,40802
Home Alone 2: Lost in New York,173585516,358994850,20000000,"November 20, 1992",PG,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21,5.8,51408
Home Alone,285761243,476684675,15000000,"November 16, 1990",PG,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47,7,79080
Happy Gilmore,38623460,38623460,10000000,"February 16, 1996",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111
Independence Day,306169255,817400878,75000000,"July 2, 1996",PG-13,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493
The Island of Dr. Moreau,27682712,27682712,40000000,"August 23, 1996",PG-13,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23,4.1,13770
The Indian in the Cupboard,35627222,35627222,45000000,"July 14, 1995",PG,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68,5.7,4836
Jack,58617334,58617334,45000000,"August 9, 1996",PG-13,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17,5.3,17267
Jade,9812870,9812870,50000000,"October 13, 1995",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16,4.8,5279
Jingle All the Way,60592389,129832389,60000000,"November 22, 1996",PG,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16,4.9,22928
JFK,70405498,205400000,40000000,"December 20, 1991",R,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83,8,59684
Jumanji,100458310,262758310,65000000,"December 15, 1995",PG,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48,6.4,54973
Jurassic Park,357067947,923067947,63000000,"June 10, 1993",PG-13,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87,7.9,151365
Jaws,260000000,470700000,12000000,"June 20, 1975",PG,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100,8.3,138017
Kingpin,25023424,32223424,25000000,"July 26, 1996",R,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51,6.7,28404
Kiss of Death,14942422,14942422,40000000,"April 21, 1995",R,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67,7.6,2374
Kansas City,1353824,1353824,19000000,"August 16, 1996",R,Original Screenplay,Drama,Historical Fiction,Robert Altman,58,6,2397
The Long Kiss Goodnight,33447612,33447612,65000000,"October 11, 1996",R,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69,6.6,28257
Aliens,85160248,183316455,17000000,"July 18, 1986",R,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84
Alien??,54927174,158500000,55000000,"May 22, 1992",R,Original Screenplay,Action,Science Fiction,David Fincher,37,6.3,78860
The Lion King,328539505,783839505,79300000,"June 15, 1994",G,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92,8.2,136503
Legends of the Fall,66502573,66502573,30000000,"December 23, 1994",R,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63,7.1,39815
Lone Star,12961389,12961389,5000000,"June 21, 1996",R,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92,7.6,14599
Lethal Weapon 3,144731527,319700000,35000000,"May 15, 1992",R,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56,6.5,39735
Leaving Las Vegas,31983777,49800000,4000000,"October 27, 1995",R,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89,7.6,42131
Menace II Society,27731527,27731527,3500000,"May 26, 1993",R,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85,7.4,14807
Mary Reilly,5707094,6370115,47000000,"February 23, 1996",R,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,27,5.5,6864
The Mask,119920129,343900000,18000000,"July 29, 1994",PG-13,Based on Comic/Graphic Novel,Comedy,Fantasy,Chuck Russell,75,6.6,72981
Mars Attacks!,37771017,101371017,80000000,"December 13, 1996",PG-13,Original Screenplay,Comedy,Science Fiction,Tim Burton,50,6.3,76396
The Mighty Ducks,50752337,50752337,10000000,"October 2, 1992",PG,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,8,5.9,15479
Money Train,35324232,77224232,68000000,"November 22, 1995",R,Original Screenplay,Action,Contemporary Fiction,Joseph Ruben,17,5.2,13972
Mallrats,2108367,2108367,6100000,"October 20, 1995",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,53,7.1,52807
Mrs. Doubtfire,219195051,441286003,25000000,"November 24, 1993",PG-13,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,64,6.6,56917
Multiplicity,20133326,20133326,45000000,"July 17, 1996",PG-13,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44,5.7,11935
The English Patient,78716374,231716374,35000000,"November 15, 1996",R,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83,7.3,54484
The Nutty Professor,128814019,273814019,55000000,"June 28, 1996",PG-13,Remake,Comedy,Kids Fiction,Tom Shadyac,67,5.6,32234
Outbreak,67823573,67823573,50000000,"March 10, 1995",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59,6.4,33192
The Outsiders,25697647,25697647,10000000,"March 25, 1983",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65,7,23607
Phenomenon,104636382,142836382,32000000,"July 5, 1996",PG,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50,6.3,26823
The Phantom,17220599,17220599,45000000,"June 7, 1996",PG,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43,4.8,9477
Pi,3221152,4678513,68000,"July 10, 1998",R,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699
The Adventures of Pinocchio,15382170,36682170,25000000,"July 26, 1996",G,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27,5.3,1734
Pulp Fiction,107928762,212928762,8000000,"October 14, 1994",R,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703
The Perez Family,2794056,2794056,11000000,"May 12, 1995",R,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67,6,1177
Ransom,136492681,308700000,70000000,"November 8, 1996",R,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524
Ri?hie Ri?h,38087756,38087756,40000000,"December 21, 1994",PG,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25,4.7,12687
Rambo: First Blood Part II,150415432,300400000,44000000,"May 22, 1985",R,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548
The Rock,134069511,336069511,75000000,"June 7, 1996",R,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324
The River Wild,46815000,94215000,45000000,"September 30, 1994",PG-13,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285
Secrets & Lies,13417292,13417292,4500000,"September 28, 1996",R,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364
Stargate,71565669,196565669,55000000,"October 28, 1994",PG-13,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174
The Shadow,31835600,31835600,40000000,"July 1, 1994",PG-13,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530
Showgirls,20254932,20254932,40000000,"September 22, 1995",NC-17,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004
The Shawshank Redemption,28241469,28241469,25000000,"September 23, 1994",R,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541
Set It Off,36049108,36049108,9000000,"November 6, 1996",R,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570
The Scarlet Letter,10359006,10359006,50000000,"October 13, 1995",R,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155
Sleepers,53300852,165600852,44000000,"October 18, 1996",R,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874
The Usual Suspects,23341568,23341568,6000000,"August 16, 1995",R,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890
Serial Mom,7881335,7881335,13000000,"April 13, 1994",R,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61,6.4,10999
The Santa Clause,144833357,189800000,22000000,"November 11, 1994",PG,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773
Sense and Sensibility,42993774,134993774,16500000,"December 11, 1995",PG,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98,7.7,31279
Speed,121248145,283200000,30000000,"June 10, 1994",R,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175
Species,60054449,113354449,35000000,"July 7, 1995",R,Original Screenplay,Action,Science Fiction,Roger Donaldson,39,5.6,21917
Superman,134218018,300200000,55000000,"December 15, 1978",PG,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129
Smilla's Sense of Snow,2221994,2221994,35000000,"February 28, 1997",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Bille August,53,6.1,7280
Assassins,30306268,83306268,50000000,"October 6, 1995",R,Original Screenplay,Action,Contemporary Fiction,Richard Donner,9,5.9,23370
Stripes,85300000,85300000,10000000,"June 26, 1981",R,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88,6.8,19618
Striptease,32773011,32773011,50000000,"June 28, 1996",R,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12,3.9,18012
Swingers,4505922,6542637,200000,"October 18, 1996",R,Original Screenplay,Comedy,Contemporary Fiction,Doug Liman,86,6.2,431
The Sweet Hereafter,4306697,4306697,5000000,"October 10, 1997",R,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,100,7.8,16280
Timecop,44853581,102053581,28000000,"September 16, 1994",R,Based on Comic/Graphic Novel,Action,Science Fiction,Peter Hyams,47,5.5,16570
The Fan,18582965,18582965,55000000,"August 16, 1996",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Tony Scott,40,5.6,20640
The Craft,24769466,55669466,15000000,"May 3, 1996",R,Original Screenplay,Thriller/Suspense,Fantasy,Andrew Fleming,45,5.9,21130
Trainspotting,16501785,24000785,3100000,"July 19, 1996",R,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,89,8.2,150483
True Lies,146282411,365300000,100000000,"July 15, 1994",R,Remake,Action,Contemporary Fiction,James Cameron,69,7.2,80581
Terminator 2: Judgment Day,204859496,516816151,100000000,"July 2, 1991",R,Original Screenplay,Action,Science Fiction,James Cameron,98,8.5,237477
A Time to Kill,108766007,152266007,40000000,"July 24, 1996",R,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,68,7.1,38577
That Thing You Do!,25857416,31748615,2500000,"October 4, 1996",PG,Original Screenplay,Drama,Historical Fiction,Tom Hanks,92,6.7,25916
Twister,241888385,495900000,88000000,"May 10, 1996",PG-13,Based on Book/Short Story,Action,Contemporary Fiction,Jan De Bont,57,6,61665
Toy Story,191796233,361948825,30000000,"November 22, 1995",G,Original Screenplay,Adventure,Kids Fiction,John Lasseter,100,8.2,151143
Unforgettable,2483790,2483790,18000000,"February 23, 1996",R,Original Screenplay,Thriller/Suspense,Science Fiction,John Dahl,23,5.7,2284
Vampire in Brooklyn,19637147,19637147,14000000,"October 27, 1995",R,Original Screenplay,Horror,Fantasy,Wes Craven,11,4.3,8200
A Walk on the Moon,4741987,4741987,14000000,"March 26, 1999",R,Original Screenplay,Drama,Historical Fiction,Tony Goldwyn,74,6.4,4125
Wolf,65011757,131011757,70000000,"June 17, 1994",R,Original Screenplay,Thriller/Suspense,Fantasy,Mike Nichols,60,6,20035
Warriors of Virtue,6448817,6448817,35000000,"May 2, 1997",PG,Original Screenplay,Action,Contemporary Fiction,Ronny Yu,10,4,1202
Waterworld,88246220,264246220,175000000,"July 28, 1995",PG-13,Original Screenplay,Action,Science Fiction,Kevin Reynolds,42,5.7,54126
The Exorcist,204632868,402500000,12000000,"December 26, 1973",R,Based on Book/Short Story,Horror,Contemporary Fiction,William Friedkin,84,8.1,103131
Extreme Measures,17378193,17378193,38000000,"September 27, 1996",R,Based on Book/Short Story,Drama,Contemporary Fiction,Michael Apted,55,5.9,8038
102 Dalmatians,66941559,66941559,85000000,"November 22, 2000",G,Based on Book/Short Story,Comedy,Kids Fiction,Kevin Lima,30,4.4,7147
"10,000 B.C.",94784201,269065678,105000000,"March 7, 2008",PG-13,Original Screenplay,Adventure,Historical Fiction,Roland Emmerich,9,5.8,134
Cloverfield,80048433,170764033,25000000,"January 18, 2008",PG-13,Original Screenplay,Action,Science Fiction,Matt Reeves,76,7.4,136068
12 Rounds,12234694,18184083,20000000,"March 27, 2009",PG-13,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28,5.4,8914
16 Blocks,36895141,65595141,45000000,"March 3, 2006",PG-13,Original Screenplay,Action,Contemporary Fiction,Richard Donner,55,6.7,41207
2012,166112167,766812167,200000000,"November 13, 2009",PG-13,Original Screenplay,Action,Science Fiction,Roland Emmerich,39,6.2,396
21,81159365,157852532,35000000,"March 21, 2008",PG-13,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Robert Luketic,35,6.7,60918
21 Grams,16248701,60448701,20000000,"November 21, 2003",R,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,81,7.9,77910
25th Hour,13084595,23928503,4500000,"December 19, 2002",R,Based on Book/Short Story,Drama,Contemporary Fiction,Spike Lee,78,7.9,58781
28 Days,37035515,62063972,43000000,"April 14, 2000",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Betty Thomas,30,5.8,17937
28 Days Later...,45064915,82719885,15000000,"June 27, 2003",R,Original Screenplay,Horror,Science Fiction,Danny Boyle,89,7.6,103525
Two Brothers,18947630,39925603,72000000,"June 25, 2004",PG,Original Screenplay,Drama,Kids Fiction,Jean-Jacques Annaud,77,6,127
Cop Out,44875481,44875481,37000000,"February 26, 2010",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,19,5.7,16520
300,210614939,456068181,60000000,"March 9, 2007",R,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8,235508
Three Kings,60652036,107752036,48000000,"October 1, 1999",R,Original Screenplay,Action,Historical Fiction,David O. Russell,94,7.3,68726
Four Brothers,74494381,92494381,30000000,"August 12, 2005",R,Original Screenplay,Drama,Contemporary Fiction,John Singleton,52,6.8,38311
Four Christmases,120146040,163546040,80000000,"November 26, 2008",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Seth Gordon,25,5.7,14690
The Four Feathers,18306166,29882645,35000000,"September 20, 2002",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Shekhar Kapur,41,6.3,13204
The 6th Day,34543701,96024898,82000000,"November 17, 2000",PG-13,Original Screenplay,Action,Science Fiction,Roger Spottiswoode,40,5.8,32606
Seven Pounds,69951824,166617328,54000000,"December 19, 2008",PG-13,Original Screenplay,Drama,Contemporary Fiction,Gabriele Muccino,27,7.6,62718
88 Minutes,16930884,32955399,30000000,"April 18, 2008",R,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Avnet,5,5.9,31205
Eight Below,81612565,120612565,40000000,"February 17, 2006",PG,Remake,Adventure,Contemporary Fiction,Frank Marshall,71,7.3,17717
8 Mile,116724075,242924075,41000000,"November 8, 2002",R,Original Screenplay,Drama,Contemporary Fiction,Curtis Hanson,74,6.7,55877
The Whole Ten Yards,16323969,26323969,30000000,"April 9, 2004",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,4,5.1,20807
A Bug's Life,162798565,363109485,45000000,"November 20, 1998",G,Original Screenplay,Adventure,Fantasy,John Lasseter,91,7.3,56866
Absolute Power,50068310,50068310,50000000,"February 14, 1997",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Clint Eastwood,46,6.5,20154
Adaptation,22498520,22498520,18500000,"December 6, 2002",R,Based on Book/Short Story,Comedy,Contemporary Fiction,Spike Jonze,91,7.9,67135
After the Sunset,28328132,38329114,57000000,"November 12, 2004",PG-13,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,18,6.2,19793
A Good Year,7459300,42064105,35000000,"November 10, 2006",PG-13,Based on Book/Short Story,Drama,Contemporary Fiction,Ridley Scott,24,6.8,23149
Air Bud,24646936,27555061,3000000,"August 1, 1997",PG,Original Screenplay,Comedy,Kids Fiction,Charles Martin Smith,45,4.6,4698
Air Force One,172956409,315268353,85000000,"July 25, 1997",R,Original Screenplay,Action,Contemporary Fiction,Wolfgang Petersen,78,6.3,61394
All the King's Men,7221458,9521458,55000000,"September 22, 2006",PG-13,Based on Book/Short Story,Drama,Historical Fiction,Steven Zaillian,11,6,11994
All About the Benjamins,25482931,25873145,14000000,"March 8, 2002",R,Original Screenplay,Comedy,Contemporary Fiction,Kevin Bray,29,5.3,4366
Sweet Home Alabama,127214072,163379330,38000000,"September 27, 2002",PG-13,Original Screenplay,Comedy,Contemporary Fiction,Andy Tennant,37,5.8,29891
Alice in Wonderland,334191110,1023291110,200000000,"March 5, 2010",PG,Based on Book/Short Story,Adventure,Fantasy,Tim Burton,51,6.7,63458
Alfie,13395939,35195939,40000000,"November 5, 2004",R,Remake,Comedy,Contemporary Fiction,Charles Shyer,49,6.1,20769
Alien,80930630,203630630,9000000,"May 25, 1979",R,Original Screenplay,Horror,Science Fiction,Ridley Scott,97,8.5,180387
Almost Famous,32522352,47371191,60000000,"September 15, 2000",R,Original Screenplay,Comedy,Dramatization,Cameron Crowe,88,8,94424
Evan Almighty,100289690,173219280,175000000,"June 22, 2007",PG,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23,5.5,43164
Bruce Almighty,242704995,485004995,81000000,"May 23, 2003",PG-13,Original Screenplay,Comedy,Fantasy,Tom Shadyac,48,6.6,92494
Along Came a Spider,74058698,105159085,28000000,"April 6, 2001",R,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Lee Tamahori,32,6.1,22994
Alex & Emma,14208384,15358583,30000000,"June 20, 2003",PG-13,Original Screenplay,Drama,Contemporary Fiction,Rob Reiner,11,5.4,6539
American Beauty,130058047,356258047,15000000,"September 15, 1999",R,Original Screenplay,Drama,Contemporary Fiction,Sam Mendes,89,8.6,292562
An American Carol,7013191,7013191,20000000,"October 3, 2008",PG-13,Original Screenplay,Comedy,Fantasy,David Zucker,12,4.5,6000
Amelia,14246488,19722782,40000000,"October 23, 2009",PG,Based on Book/Short Story,Drama,Dramatization,Mira Nair,21,5.7,3238
American Pie,101800948,234800000,12000000,"July 9, 1999",R,Original Screenplay,Comedy,Contemporary Fiction,Paul Weitz,59,6.9,106624
Angels & Demons,133375846,485975846,150000000,"May 15, 2009",PG-13,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,35,6.7,60114
